Year,CBSA,CBSA_Name,Race,Indicator,Value,SE,Sig
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0809287429,0.0773100182,
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Other,Percentage Point Change in Relative Income Poverty Rate,0.0242587626,0.0781682432,
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0315708816,0.0329546146,
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0126316547,0.0140652535,
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",White,Percentage Point Change in Relative Income Poverty Rate,-0.0133296549,0.0133046145,
2009-2014,15980,"Cape Coral-Fort Myers, FL",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0545087308,0.1146956906,
2009-2014,15980,"Cape Coral-Fort Myers, FL",Black,Percentage Point Change in Relative Income Poverty Rate,-0.018689394,0.0548840016,
2009-2014,15980,"Cape Coral-Fort Myers, FL",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0371441692,0.0364474133,
2009-2014,15980,"Cape Coral-Fort Myers, FL",Other,Percentage Point Change in Relative Income Poverty Rate,-0.20892483,0.1442864537,
2009-2014,15980,"Cape Coral-Fort Myers, FL",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0413124859,0.0279539488,
2009-2014,15980,"Cape Coral-Fort Myers, FL",Total,Percentage Point Change in Relative Income Poverty Rate,0.0053230375,0.013852831,
2009-2014,15980,"Cape Coral-Fort Myers, FL",White,Percentage Point Change in Relative Income Poverty Rate,0.0223933905,0.0169926323,
2009-2014,16700,"Charleston-North Charleston, SC",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0086301863,0.1121965274,
2009-2014,16700,"Charleston-North Charleston, SC",Black,Percentage Point Change in Relative Income Poverty Rate,0.0171664655,0.0400732979,
2009-2014,16700,"Charleston-North Charleston, SC",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0002911985,0.0858765841,
2009-2014,16700,"Charleston-North Charleston, SC",Other,Percentage Point Change in Relative Income Poverty Rate,-0.1126591563,0.1190125048,
2009-2014,16700,"Charleston-North Charleston, SC",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0047086775,0.0364990979,
2009-2014,16700,"Charleston-North Charleston, SC",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0022132397,0.0208688527,
2009-2014,16700,"Charleston-North Charleston, SC",White,Percentage Point Change in Relative Income Poverty Rate,-0.0028349906,0.0183149911,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0351050347,0.0349433497,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Black,Percentage Point Change in Relative Income Poverty Rate,0.0058648884,0.0163033269,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0214589238,0.0301402509,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0844596028,0.0652873218,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0096893609,0.0130489245,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0051390231,0.0076575442,
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",White,Percentage Point Change in Relative Income Poverty Rate,-0.0084701627,0.0083180349,
2009-2014,16860,"Chattanooga, TN-GA",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.3088939786,0.1337590367,*
2009-2014,16860,"Chattanooga, TN-GA",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0303266048,0.0507920347,
2009-2014,16860,"Chattanooga, TN-GA",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0129230917,0.1182509139,
2009-2014,16860,"Chattanooga, TN-GA",Other,Percentage Point Change in Relative Income Poverty Rate,0.0413278937,0.1708136648,
2009-2014,16860,"Chattanooga, TN-GA",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0508121848,0.0443454161,
2009-2014,16860,"Chattanooga, TN-GA",Total,Percentage Point Change in Relative Income Poverty Rate,0.0119247437,0.0156797301,
2009-2014,16860,"Chattanooga, TN-GA",White,Percentage Point Change in Relative Income Poverty Rate,0.0243856311,0.0167245548,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0202694684,0.0144442804,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Black,Percentage Point Change in Relative Income Poverty Rate,0.0028996468,0.0112213017,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0029264092,0.0099508744,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0029101074,0.0378024466,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0035916269,0.0067535522,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0027344823,0.0039490182,
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",White,Percentage Point Change in Relative Income Poverty Rate,-0.0106499642,0.0041333181,*
2009-2014,17140,"Cincinnati, OH-KY-IN",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0154479891,0.0466771908,
2009-2014,17140,"Cincinnati, OH-KY-IN",Black,Percentage Point Change in Relative Income Poverty Rate,0.0720005929,0.0311010834,*
2009-2014,17140,"Cincinnati, OH-KY-IN",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0204637349,0.0588394366,
2009-2014,17140,"Cincinnati, OH-KY-IN",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0536184907,0.0755860731,
2009-2014,17140,"Cincinnati, OH-KY-IN",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0380615294,0.0236648116,
2009-2014,17140,"Cincinnati, OH-KY-IN",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0066994131,0.0084842006,
2009-2014,17140,"Cincinnati, OH-KY-IN",White,Percentage Point Change in Relative Income Poverty Rate,-0.0181353986,0.0084126741,*
2009-2014,17460,"Cleveland-Elyria, OH",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0006372929,0.0663368031,
2009-2014,17460,"Cleveland-Elyria, OH",Black,Percentage Point Change in Relative Income Poverty Rate,0.0061871409,0.0400694385,
2009-2014,17460,"Cleveland-Elyria, OH",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0002326667,0.0521287955,
2009-2014,17460,"Cleveland-Elyria, OH",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0194498599,0.0791781396,
2009-2014,17460,"Cleveland-Elyria, OH",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0035453737,0.0366291516,
2009-2014,17460,"Cleveland-Elyria, OH",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0135959089,0.0248080697,
2009-2014,17460,"Cleveland-Elyria, OH",White,Percentage Point Change in Relative Income Poverty Rate,-0.021442771,0.0224188194,
2009-2014,17820,"Colorado Springs, CO",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0436188281,0.0904219374,
2009-2014,17820,"Colorado Springs, CO",Black,Percentage Point Change in Relative Income Poverty Rate,0.0288828164,0.0710196644,
2009-2014,17820,"Colorado Springs, CO",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0442219973,0.043036215,
2009-2014,17820,"Colorado Springs, CO",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0110012591,0.0876701623,
2009-2014,17820,"Colorado Springs, CO",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0360420346,0.0331922397,
2009-2014,17820,"Colorado Springs, CO",Total,Percentage Point Change in Relative Income Poverty Rate,0.0033699572,0.0162116904,
2009-2014,17820,"Colorado Springs, CO",White,Percentage Point Change in Relative Income Poverty Rate,-0.0106396973,0.0160616543,
2009-2014,17900,"Columbia, SC",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0650243163,0.0811259747,
2009-2014,17900,"Columbia, SC",Black,Percentage Point Change in Relative Income Poverty Rate,0.0053115487,0.0264363531,
2009-2014,17900,"Columbia, SC",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0420843661,0.0730193332,
2009-2014,17900,"Columbia, SC",Other,Percentage Point Change in Relative Income Poverty Rate,0.0113709867,0.1074177772,
2009-2014,17900,"Columbia, SC",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0075082183,0.0224988442,
2009-2014,17900,"Columbia, SC",Total,Percentage Point Change in Relative Income Poverty Rate,0.0093097091,0.0114750359,
2009-2014,17900,"Columbia, SC",White,Percentage Point Change in Relative Income Poverty Rate,0.0078818351,0.0131049491,
2009-2014,18140,"Columbus, OH",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0564607829,0.0420732871,
2009-2014,18140,"Columbus, OH",Black,Percentage Point Change in Relative Income Poverty Rate,0.0632551312,0.0282194298,*
2009-2014,18140,"Columbus, OH",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0460386872,0.0574956276,
2009-2014,18140,"Columbus, OH",Other,Percentage Point Change in Relative Income Poverty Rate,0.0581277907,0.0696922988,
2009-2014,18140,"Columbus, OH",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0627573729,0.0242807139,*
2009-2014,18140,"Columbus, OH",Total,Percentage Point Change in Relative Income Poverty Rate,0.0178199112,0.0111947386,
2009-2014,18140,"Columbus, OH",White,Percentage Point Change in Relative Income Poverty Rate,0.0010663569,0.0105429525,
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0161414742,0.0170806982,
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Black,Percentage Point Change in Relative Income Poverty Rate,0.0210556984,0.0113551412,*
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0256191194,0.0118446704,*
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Other,Percentage Point Change in Relative Income Poverty Rate,0.0809873641,0.0359950624,*
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0225231051,0.0081553012,*
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Total,Percentage Point Change in Relative Income Poverty Rate,0.0175138414,0.005583602,*
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",White,Percentage Point Change in Relative Income Poverty Rate,0.006968081,0.0056510777,
2009-2014,19380,"Dayton, OH",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.074605763,0.0844002888,
2009-2014,19380,"Dayton, OH",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0202628374,0.0352027602,
2009-2014,19380,"Dayton, OH",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0079304874,0.1101260111,
2009-2014,19380,"Dayton, OH",Other,Percentage Point Change in Relative Income Poverty Rate,0.0737821162,0.1105366871,
2009-2014,19380,"Dayton, OH",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0154339373,0.0301143005,
2009-2014,19380,"Dayton, OH",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0193247497,0.0110894451,*
2009-2014,19380,"Dayton, OH",White,Percentage Point Change in Relative Income Poverty Rate,-0.0237241983,0.0124598546,*
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0691188276,0.1147871092,
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0873407423,0.0687825158,
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0538685024,0.0592864379,
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Other,Percentage Point Change in Relative Income Poverty Rate,0.0604523718,0.1349082142,
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0123023987,0.0452428646,
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0421836376,0.0226875078,*
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",White,Percentage Point Change in Relative Income Poverty Rate,-0.0522403866,0.0227788184,*
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0254835635,0.0284232534,
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Black,Percentage Point Change in Relative Income Poverty Rate,0.0047525465,0.0319498368,
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0614887774,0.0180996824,*
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Other,Percentage Point Change in Relative Income Poverty Rate,0.0428608656,0.0492383726,
2009-2014,19740,"Denver-Aurora-Lakewood, CO",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0336643755,0.0146509819,*
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0094823539,0.0061163753,
2009-2014,19740,"Denver-Aurora-Lakewood, CO",White,Percentage Point Change in Relative Income Poverty Rate,-0.0007962435,0.0062411311,
2009-2014,19780,"Des Moines-West Des Moines, IA",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0148876607,0.0721396729,
2009-2014,19780,"Des Moines-West Des Moines, IA",Black,Percentage Point Change in Relative Income Poverty Rate,0.1720868647,0.1056541353,
2009-2014,19780,"Des Moines-West Des Moines, IA",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.055326879,0.1168362126,
2009-2014,19780,"Des Moines-West Des Moines, IA",Other,Percentage Point Change in Relative Income Poverty Rate,0.0149610639,0.2044422626,
2009-2014,19780,"Des Moines-West Des Moines, IA",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0756683052,0.0593928993,
2009-2014,19780,"Des Moines-West Des Moines, IA",Total,Percentage Point Change in Relative Income Poverty Rate,0.040589273,0.0170647521,*
2009-2014,19780,"Des Moines-West Des Moines, IA",White,Percentage Point Change in Relative Income Poverty Rate,0.0345831811,0.016760394,*
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.008508265,0.0294311028,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Black,Percentage Point Change in Relative Income Poverty Rate,0.0195300579,0.0148369074,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0212367773,0.032588359,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0062118173,0.0495827198,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0071917176,0.0116931451,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0071965158,0.005115089,
2009-2014,19820,"Detroit-Warren-Dearborn, MI",White,Percentage Point Change in Relative Income Poverty Rate,-0.0159435868,0.0056948476,*
2009-2014,21340,"El Paso, TX",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0924243107,0.0547086,*
2009-2014,21340,"El Paso, TX",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0667781979,0.0681540221,
2009-2014,21340,"El Paso, TX",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0273587555,0.0280784462,
2009-2014,21340,"El Paso, TX",Other,Percentage Point Change in Relative Income Poverty Rate,0.0092160255,0.1315378547,
2009-2014,21340,"El Paso, TX",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.021691218,0.0263570417,
2009-2014,21340,"El Paso, TX",Total,Percentage Point Change in Relative Income Poverty Rate,0.0176172704,0.0260636564,
2009-2014,21340,"El Paso, TX",White,Percentage Point Change in Relative Income Poverty Rate,-0.0052821636,0.0352937169,
2009-2014,23420,"Fresno, CA",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0138334185,0.0367588066,
2009-2014,23420,"Fresno, CA",Black,Percentage Point Change in Relative Income Poverty Rate,0.0225606263,0.072132647,
2009-2014,23420,"Fresno, CA",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0036589801,0.0244922154,
2009-2014,23420,"Fresno, CA",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0002938509,0.0941949263,
2009-2014,23420,"Fresno, CA",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0009456575,0.0222378168,
2009-2014,23420,"Fresno, CA",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0003876686,0.0171223488,
2009-2014,23420,"Fresno, CA",White,Percentage Point Change in Relative Income Poverty Rate,-0.0124010444,0.0185707472,
2009-2014,24340,"Grand Rapids-Wyoming, MI",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.1579840034,0.0764133036,*
2009-2014,24340,"Grand Rapids-Wyoming, MI",Black,Percentage Point Change in Relative Income Poverty Rate,0.0583662391,0.0757547989,
2009-2014,24340,"Grand Rapids-Wyoming, MI",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0390648246,0.061700128,
2009-2014,24340,"Grand Rapids-Wyoming, MI",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0641235709,0.1042696759,
2009-2014,24340,"Grand Rapids-Wyoming, MI",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.002984941,0.0390100256,
2009-2014,24340,"Grand Rapids-Wyoming, MI",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0198988616,0.0118123135,*
2009-2014,24340,"Grand Rapids-Wyoming, MI",White,Percentage Point Change in Relative Income Poverty Rate,-0.0302097201,0.0116748651,*
2009-2014,24660,"Greensboro-High Point, NC",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0092576742,0.0797608942,
2009-2014,24660,"Greensboro-High Point, NC",Black,Percentage Point Change in Relative Income Poverty Rate,0.0305421948,0.0314601809,
2009-2014,24660,"Greensboro-High Point, NC",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0344438255,0.0650834516,
2009-2014,24660,"Greensboro-High Point, NC",Other,Percentage Point Change in Relative Income Poverty Rate,-0.1056315899,0.150006637,
2009-2014,24660,"Greensboro-High Point, NC",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0125043094,0.0282849781,
2009-2014,24660,"Greensboro-High Point, NC",Total,Percentage Point Change in Relative Income Poverty Rate,0.0009745359,0.0153856631,
2009-2014,24660,"Greensboro-High Point, NC",White,Percentage Point Change in Relative Income Poverty Rate,-0.0068039745,0.0142876888,
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Asian,Percentage Point Change in Relative Income Poverty Rate,0.1800044924,0.0830976591,*
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Black,Percentage Point Change in Relative Income Poverty Rate,0.0338802338,0.0333512016,
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0679587871,0.0539545603,
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Other,Percentage Point Change in Relative Income Poverty Rate,-0.2356378734,0.1259587854,*
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0071757734,0.0266541708,
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Total,Percentage Point Change in Relative Income Poverty Rate,0.0019305944,0.0090195667,
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",White,Percentage Point Change in Relative Income Poverty Rate,-0.0002727509,0.0117100831,
2009-2014,25420,"Harrisburg-Carlisle, PA",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0197211504,0.0848882347,
2009-2014,25420,"Harrisburg-Carlisle, PA",Black,Percentage Point Change in Relative Income Poverty Rate,0.0934800804,0.054390803,*
2009-2014,25420,"Harrisburg-Carlisle, PA",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0091475248,0.0891253874,
2009-2014,25420,"Harrisburg-Carlisle, PA",Other,Percentage Point Change in Relative Income Poverty Rate,0.0185855925,0.175053969,
2009-2014,25420,"Harrisburg-Carlisle, PA",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0541392863,0.0444537997,
2009-2014,25420,"Harrisburg-Carlisle, PA",Total,Percentage Point Change in Relative Income Poverty Rate,0.0124828815,0.0179578662,
2009-2014,25420,"Harrisburg-Carlisle, PA",White,Percentage Point Change in Relative Income Poverty Rate,0.0017731786,0.0186285637,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0423429757,0.0424833745,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0123431087,0.0374644659,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0024880469,0.0460955948,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0664418638,0.0792606995,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0154096186,0.0281130597,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0122329593,0.0111410618,
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",White,Percentage Point Change in Relative Income Poverty Rate,-0.0156366825,0.0096581541,
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0055412203,0.0194870215,
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Black,Percentage Point Change in Relative Income Poverty Rate,0.0422760248,0.0147870732,*
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Hispanic,Percentage Point Change in Relative Income Poverty Rate,0.0222832561,0.0142659955,
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Other,Percentage Point Change in Relative Income Poverty Rate,0.0047050118,0.0486353524,
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0234932303,0.0115409493,*
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Total,Percentage Point Change in Relative Income Poverty Rate,0.0222672671,0.0084359907,*
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",White,Percentage Point Change in Relative Income Poverty Rate,0.008586362,0.0076317219,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0084363669,0.0555392168,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0346184969,0.0341667309,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0023124814,0.0531075634,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0157333612,0.069590494,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0262167156,0.0304208193,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Total,Percentage Point Change in Relative Income Poverty Rate,0.0077182949,0.0183931943,
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",White,Percentage Point Change in Relative Income Poverty Rate,0.0134212077,0.0168496799,
2009-2014,27140,"Jackson, MS",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.2070700228,0.1440093666,
2009-2014,27140,"Jackson, MS",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0456266999,0.0256480239,*
2009-2014,27140,"Jackson, MS",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0749727786,0.1572113186,
2009-2014,27140,"Jackson, MS",Other,Percentage Point Change in Relative Income Poverty Rate,0.0036167204,0.2299820334,
2009-2014,27140,"Jackson, MS",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0488051474,0.0256420821,*
2009-2014,27140,"Jackson, MS",Total,Percentage Point Change in Relative Income Poverty Rate,-0.0310678184,0.015837539,*
2009-2014,27140,"Jackson, MS",White,Percentage Point Change in Relative Income Poverty Rate,-0.0204073191,0.0198307876,
2009-2014,27260,"Jacksonville, FL",Asian,Percentage Point Change in Relative Income Poverty Rate,-0.0189198852,0.0443634614,
2009-2014,27260,"Jacksonville, FL",Black,Percentage Point Change in Relative Income Poverty Rate,0.0229335725,0.0231342223,
2009-2014,27260,"Jacksonville, FL",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0299630463,0.0459402129,
2009-2014,27260,"Jacksonville, FL",Other,Percentage Point Change in Relative Income Poverty Rate,-0.0012407303,0.0826339945,
2009-2014,27260,"Jacksonville, FL",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0043377876,0.018932797,
2009-2014,27260,"Jacksonville, FL",Total,Percentage Point Change in Relative Income Poverty Rate,0.0024883151,0.0096547864,
2009-2014,27260,"Jacksonville, FL",White,Percentage Point Change in Relative Income Poverty Rate,-0.0013598502,0.0103510022,
2009-2014,28140,"Kansas City, MO-KS",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0577579886,0.052272819,
2009-2014,28140,"Kansas City, MO-KS",Black,Percentage Point Change in Relative Income Poverty Rate,-0.0135776103,0.032196179,
2009-2014,28140,"Kansas City, MO-KS",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0499716103,0.0482545421,
2009-2014,28140,"Kansas City, MO-KS",Other,Percentage Point Change in Relative Income Poverty Rate,0.0407107472,0.0665931702,
2009-2014,28140,"Kansas City, MO-KS",People of Color,Percentage Point Change in Relative Income Poverty Rate,-0.0109605789,0.0289452653,
2009-2014,28140,"Kansas City, MO-KS",Total,Percentage Point Change in Relative Income Poverty Rate,0.0022055209,0.0152075654,
2009-2014,28140,"Kansas City, MO-KS",White,Percentage Point Change in Relative Income Poverty Rate,0.0038994849,0.0139394933,
2009-2014,28940,"Knoxville, TN",Asian,Percentage Point Change in Relative Income Poverty Rate,0.1021834239,0.081590347,
2009-2014,28940,"Knoxville, TN",Black,Percentage Point Change in Relative Income Poverty Rate,0.0700393021,0.0603854917,
2009-2014,28940,"Knoxville, TN",Hispanic,Percentage Point Change in Relative Income Poverty Rate,-0.0099676251,0.0714077801,
2009-2014,28940,"Knoxville, TN",Other,Percentage Point Change in Relative Income Poverty Rate,0.132971257,0.1074757427,
2009-2014,28940,"Knoxville, TN",People of Color,Percentage Point Change in Relative Income Poverty Rate,0.0606615245,0.0401639417,
2009-2014,28940,"Knoxville, TN",Total,Percentage Point Change in Relative Income Poverty Rate,0.0038646758,0.0121011687,
2009-2014,28940,"Knoxville, TN",White,Percentage Point Change in Relative Income Poverty Rate,-0.0040025413,0.0126356445,
2009-2014,29460,"Lakeland-Winter Haven, FL",Asian,Percentage Point Change in Relative Income Poverty Rate,0.0421672016,0.1060928181,
2009-2014,29460,"Lakeland-Winter Haven, FL",Black,Percentage Point Change in Relative Income Poverty Rate,0.040081352,0.042151127,
